CA230334,CA230335,CA230337,CA230347,CA230348,CA230354,CA230361,CA230365,CA230366,CA230375,CA230377,CA230378,CA230381,CA230386,CA230387,CA230401,CA230404,CA230411,CA230416,CA230417,CA230422,CA230423,CA230424,CA230428,CA230429,CA230430,CA230715,CA230717,CA230718,CA230724
Capulí,Tuza,Piartal - 2,Piartal - 2,Capulí,Tuza,Piartal - 1,Capulí,Capulí,Capulí,Capulí,Capulí,Capulí,Capulí,Capulí,Tuza,Piartal - 2,Tuza,Piartal - 1,Piartal - 1,Piartal - 1,Piartal - 1,Piartal - 1,Tuza,Tuza,Tuza - Red slip,Tuza,Piartal - 1,Tuza,Tuza
10.0714,6.59632,5.5539,8.85822,9.97787,6.42397,9.02594,10.13315,11.68101,10.63744,9.04879,8.61376,10.82389,9.94592,12.32393,6.34164,8.37073,6.85539,6.27334,8.32527,8.05927,7.09905,7.61603,7.27599,7.20239,5.91539,6.34556,7.09797,6.68328,6.59304
9.98677,6.59632,5.5539,8.85822,9.97787,6.42397,9.02594,10.13315,11.68101,10.63744,9.04879,8.61376,10.82389,9.94592,12.32393,6.34164,8.37073,6.85539,6.27334,8.40936,8.05927,7.09905,7.61603,7.27599,7.20239,5.91539,6.34556,7.09797,6.68328,6.67756
9.98677,6.59612,5.5539,8.85768,9.87836,6.42397,9.02594,10.21759,11.68101,10.63777,9.04907,8.61349,10.82389,10.15212,12.32393,6.34164,8.37073,6.85539,6.27334,7.92091,8.05927,7.09905,7.61579,7.27577,7.20239,5.8307,6.34556,7.01347,6.68328,6.67715
9.98677,6.59612,5.55423,8.85768,9.94096,6.42417,9.02594,10.21759,11.59601,10.63777,9.04907,8.61349,10.82389,10.05182,12.32393,6.34164,8.37073,6.85539,6.27334,7.93693,8.05976,7.09926,7.61579,7.27577,7.20239,5.8307,6.34556,7.01326,6.68287,6.67715
9.98677,6.59632,5.55423,8.85822,10.14711,6.42397,9.02594,10.21759,11.59637,10.63744,9.04879,8.61376,10.82389,9.80366,12.30605,6.34164,8.37073,6.85539,6.27334,7.85725,8.05927,7.09926,7.61603,7.27599,7.20239,5.83088,6.34556,7.01347,6.68328,6.67756
9.98707,6.59632,5.5539,8.85822,10.04609,6.42397,9.02594,10.21759,11.59637,10.63744,9.04879,8.61376,10.82389,9.81069,12.44625,6.34125,8.37073,6.85539,6.18857,7.85818,8.05927,7.01453,7.70065,7.27599,7.20239,5.83088,6.34595,7.09797,6.68328,6.67756
9.98677,6.59632,5.5539,8.85768,9.79836,6.42417,9.02594,10.21759,11.59601,10.63777,9.04879,8.61349,10.82389,9.72855,12.74595,6.34125,8.37073,6.85539,6.18857,7.85855,8.05927,7.01453,7.70065,7.27599,7.20239,5.83088,6.34556,7.09797,6.68287,6.67715
9.98677,6.59632,5.5539,8.85768,9.89077,6.42397,9.01232,10.21759,11.59637,10.63777,9.04879,8.61349,10.82389,9.72917,12.55768,6.34164,8.37099,6.8556,6.26405,7.85862,8.14235,7.01475,7.70065,7.27577,7.20195,5.83088,6.33599,7.09797,6.68287,6.67715
9.98677,6.59612,5.5539,8.85822,9.89299,6.42397,9.16041,10.21759,11.59637,10.63744,9.04907,8.61376,10.82389,9.64466,12.31107,6.33235,8.37073,6.85539,6.33437,7.9431,8.14285,7.01453,7.61579,7.27577,7.20239,5.8307,6.40669,7.09775,6.68328,6.67756
