ID,Vessel,ware,collection,percent_complete
CA230334_1,CA230334,Capulí,Museo del Oro,1
CA230334_2,CA230334,Capulí,Museo del Oro,1
CA230334_3,CA230334,Capulí,Museo del Oro,1
CA230334_4,CA230334,Capulí,Museo del Oro,1
CA230334_5,CA230334,Capulí,Museo del Oro,1
CA230334_6,CA230334,Capulí,Museo del Oro,1
CA230334_7,CA230334,Capulí,Museo del Oro,1
CA230334_8,CA230334,Capulí,Museo del Oro,1
CA230334_9,CA230334,Capulí,Museo del Oro,1
CA230334_10,CA230334,Capulí,Museo del Oro,1
CA230334_11,CA230334,Capulí,Museo del Oro,1
CA230334_12,CA230334,Capulí,Museo del Oro,1
CA230334_13,CA230334,Capulí,Museo del Oro,1
CA230334_14,CA230334,Capulí,Museo del Oro,1
CA230334_15,CA230334,Capulí,Museo del Oro,1
CA230334_16,CA230334,Capulí,Museo del Oro,1
CA230334_17,CA230334,Capulí,Museo del Oro,1
CA230334_18,CA230334,Capulí,Museo del Oro,1
CA230334_19,CA230334,Capulí,Museo del Oro,1
CA230334_20,CA230334,Capulí,Museo del Oro,1
CA230334_21,CA230334,Capulí,Museo del Oro,1
CA230334_22,CA230334,Capulí,Museo del Oro,1
CA230334_23,CA230334,Capulí,Museo del Oro,1
CA230334_24,CA230334,Capulí,Museo del Oro,1
CA230334_25,CA230334,Capulí,Museo del Oro,1
CA230334_26,CA230334,Capulí,Museo del Oro,1
CA230334_27,CA230334,Capulí,Museo del Oro,1
CA230334_28,CA230334,Capulí,Museo del Oro,1
CA230334_29,CA230334,Capulí,Museo del Oro,1
CA230334_30,CA230334,Capulí,Museo del Oro,1
CA230334_31,CA230334,Capulí,Museo del Oro,1
CA230334_32,CA230334,Capulí,Museo del Oro,1
CA230334_33,CA230334,Capulí,Museo del Oro,1
CA230334_34,CA230334,Capulí,Museo del Oro,1
CA230334_35,CA230334,Capulí,Museo del Oro,1
CA230334_36,CA230334,Capulí,Museo del Oro,1
CA230335_1,CA230335,Tuza,Museo del Oro,1
CA230335_2,CA230335,Tuza,Museo del Oro,1
CA230335_3,CA230335,Tuza,Museo del Oro,1
CA230335_4,CA230335,Tuza,Museo del Oro,1
CA230335_5,CA230335,Tuza,Museo del Oro,1
CA230335_6,CA230335,Tuza,Museo del Oro,1
CA230335_7,CA230335,Tuza,Museo del Oro,0.999418003
CA230335_8,CA230335,Tuza,Museo del Oro,0.998823707
CA230335_9,CA230335,Tuza,Museo del Oro,0.998724076
CA230335_10,CA230335,Tuza,Museo del Oro,0.998907151
CA230335_11,CA230335,Tuza,Museo del Oro,0.9995895
CA230335_12,CA230335,Tuza,Museo del Oro,0.999536253
CA230335_13,CA230335,Tuza,Museo del Oro,0.999503963
CA230335_14,CA230335,Tuza,Museo del Oro,1
CA230335_15,CA230335,Tuza,Museo del Oro,1
CA230335_16,CA230335,Tuza,Museo del Oro,1
CA230335_17,CA230335,Tuza,Museo del Oro,1
CA230335_18,CA230335,Tuza,Museo del Oro,1
CA230335_19,CA230335,Tuza,Museo del Oro,1
CA230335_20,CA230335,Tuza,Museo del Oro,1
CA230335_21,CA230335,Tuza,Museo del Oro,1
CA230335_22,CA230335,Tuza,Museo del Oro,1
CA230335_23,CA230335,Tuza,Museo del Oro,1
CA230335_24,CA230335,Tuza,Museo del Oro,1
CA230335_25,CA230335,Tuza,Museo del Oro,1
CA230335_26,CA230335,Tuza,Museo del Oro,1
CA230335_27,CA230335,Tuza,Museo del Oro,1
CA230335_28,CA230335,Tuza,Museo del Oro,1
CA230335_29,CA230335,Tuza,Museo del Oro,1
CA230335_30,CA230335,Tuza,Museo del Oro,1
CA230335_31,CA230335,Tuza,Museo del Oro,1
CA230335_32,CA230335,Tuza,Museo del Oro,1
CA230335_33,CA230335,Tuza,Museo del Oro,1
CA230335_34,CA230335,Tuza,Museo del Oro,1
CA230335_35,CA230335,Tuza,Museo del Oro,1
CA230335_36,CA230335,Tuza,Museo del Oro,1
CA230337_1,CA230337,Piartal - 2,Museo del Oro,0.996469581
CA230337_2,CA230337,Piartal - 2,Museo del Oro,1
CA230337_3,CA230337,Piartal - 2,Museo del Oro,0.997332271
CA230337_4,CA230337,Piartal - 2,Museo del Oro,0.997629051
CA230337_5,CA230337,Piartal - 2,Museo del Oro,1
CA230337_6,CA230337,Piartal - 2,Museo del Oro,0.999643606
CA230337_7,CA230337,Piartal - 2,Museo del Oro,0.999285488
CA230337_8,CA230337,Piartal - 2,Museo del Oro,1
CA230337_9,CA230337,Piartal - 2,Museo del Oro,0.99862463
CA230337_10,CA230337,Piartal - 2,Museo del Oro,0.998060453
CA230337_11,CA230337,Piartal - 2,Museo del Oro,0.997370133
CA230337_12,CA230337,Piartal - 2,Museo del Oro,0.998575028
CA230337_13,CA230337,Piartal - 2,Museo del Oro,0.997606975
CA230337_14,CA230337,Piartal - 2,Museo del Oro,0.997261827
CA230337_15,CA230337,Piartal - 2,Museo del Oro,0.997687493
CA230337_16,CA230337,Piartal - 2,Museo del Oro,0.998203232
CA230337_17,CA230337,Piartal - 2,Museo del Oro,0.997208658
CA230337_18,CA230337,Piartal - 2,Museo del Oro,0.994601875
CA230337_19,CA230337,Piartal - 2,Museo del Oro,0.997800104
CA230337_20,CA230337,Piartal - 2,Museo del Oro,0.99571783
CA230337_21,CA230337,Piartal - 2,Museo del Oro,0.996963985
CA230337_22,CA230337,Piartal - 2,Museo del Oro,0.996071303
CA230337_23,CA230337,Piartal - 2,Museo del Oro,0.993398238
CA230337_24,CA230337,Piartal - 2,Museo del Oro,0.994239916
CA230337_25,CA230337,Piartal - 2,Museo del Oro,0.995068499
CA230337_26,CA230337,Piartal - 2,Museo del Oro,0.9945898
CA230337_27,CA230337,Piartal - 2,Museo del Oro,0.996938398
CA230337_28,CA230337,Piartal - 2,Museo del Oro,0.996805279
CA230337_29,CA230337,Piartal - 2,Museo del Oro,0.998358202
CA230337_30,CA230337,Piartal - 2,Museo del Oro,0.997351677
CA230337_31,CA230337,Piartal - 2,Museo del Oro,0.99718881
CA230337_32,CA230337,Piartal - 2,Museo del Oro,0.996822096
CA230337_33,CA230337,Piartal - 2,Museo del Oro,1
CA230337_34,CA230337,Piartal - 2,Museo del Oro,0.99966288
CA230337_35,CA230337,Piartal - 2,Museo del Oro,0.996950757
CA230337_36,CA230337,Piartal - 2,Museo del Oro,0.996035044
CA230347_1,CA230347,Piartal - 2,Museo del Oro,1
CA230347_2,CA230347,Piartal - 2,Museo del Oro,1
CA230347_3,CA230347,Piartal - 2,Museo del Oro,1
CA230347_4,CA230347,Piartal - 2,Museo del Oro,1
CA230347_5,CA230347,Piartal - 2,Museo del Oro,1
CA230347_6,CA230347,Piartal - 2,Museo del Oro,1
CA230347_7,CA230347,Piartal - 2,Museo del Oro,1
CA230347_8,CA230347,Piartal - 2,Museo del Oro,1
CA230347_9,CA230347,Piartal - 2,Museo del Oro,1
CA230347_10,CA230347,Piartal - 2,Museo del Oro,1
CA230347_11,CA230347,Piartal - 2,Museo del Oro,1
CA230347_12,CA230347,Piartal - 2,Museo del Oro,1
CA230347_13,CA230347,Piartal - 2,Museo del Oro,1
CA230347_14,CA230347,Piartal - 2,Museo del Oro,1
CA230347_15,CA230347,Piartal - 2,Museo del Oro,1
CA230347_16,CA230347,Piartal - 2,Museo del Oro,1
CA230347_17,CA230347,Piartal - 2,Museo del Oro,1
CA230347_18,CA230347,Piartal - 2,Museo del Oro,1
CA230347_19,CA230347,Piartal - 2,Museo del Oro,1
CA230347_20,CA230347,Piartal - 2,Museo del Oro,1
CA230347_21,CA230347,Piartal - 2,Museo del Oro,1
CA230347_22,CA230347,Piartal - 2,Museo del Oro,1
CA230347_23,CA230347,Piartal - 2,Museo del Oro,1
CA230347_24,CA230347,Piartal - 2,Museo del Oro,1
CA230347_25,CA230347,Piartal - 2,Museo del Oro,1
CA230347_26,CA230347,Piartal - 2,Museo del Oro,1
CA230347_27,CA230347,Piartal - 2,Museo del Oro,1
CA230347_28,CA230347,Piartal - 2,Museo del Oro,1
CA230347_29,CA230347,Piartal - 2,Museo del Oro,1
CA230347_30,CA230347,Piartal - 2,Museo del Oro,1
CA230347_31,CA230347,Piartal - 2,Museo del Oro,1
CA230347_32,CA230347,Piartal - 2,Museo del Oro,1
CA230347_33,CA230347,Piartal - 2,Museo del Oro,1
CA230347_34,CA230347,Piartal - 2,Museo del Oro,1
CA230347_35,CA230347,Piartal - 2,Museo del Oro,1
CA230347_36,CA230347,Piartal - 2,Museo del Oro,1
CA230348_1,CA230348,Capulí,Museo del Oro,1
CA230348_2,CA230348,Capulí,Museo del Oro,1
CA230348_3,CA230348,Capulí,Museo del Oro,1
CA230348_4,CA230348,Capulí,Museo del Oro,1
CA230348_5,CA230348,Capulí,Museo del Oro,1
CA230348_6,CA230348,Capulí,Museo del Oro,1
CA230348_7,CA230348,Capulí,Museo del Oro,1
CA230348_8,CA230348,Capulí,Museo del Oro,1
CA230348_9,CA230348,Capulí,Museo del Oro,1
CA230348_10,CA230348,Capulí,Museo del Oro,1
CA230348_11,CA230348,Capulí,Museo del Oro,1
CA230348_12,CA230348,Capulí,Museo del Oro,1
CA230348_13,CA230348,Capulí,Museo del Oro,1
CA230348_14,CA230348,Capulí,Museo del Oro,1
CA230348_15,CA230348,Capulí,Museo del Oro,1
CA230348_16,CA230348,Capulí,Museo del Oro,1
CA230348_17,CA230348,Capulí,Museo del Oro,1
CA230348_18,CA230348,Capulí,Museo del Oro,1
CA230348_19,CA230348,Capulí,Museo del Oro,1
CA230348_20,CA230348,Capulí,Museo del Oro,1
CA230348_21,CA230348,Capulí,Museo del Oro,1
CA230348_22,CA230348,Capulí,Museo del Oro,1
CA230348_23,CA230348,Capulí,Museo del Oro,1
CA230348_24,CA230348,Capulí,Museo del Oro,1
CA230348_25,CA230348,Capulí,Museo del Oro,1
CA230348_26,CA230348,Capulí,Museo del Oro,1
CA230348_27,CA230348,Capulí,Museo del Oro,1
CA230348_28,CA230348,Capulí,Museo del Oro,1
CA230348_29,CA230348,Capulí,Museo del Oro,1
CA230348_30,CA230348,Capulí,Museo del Oro,1
CA230348_31,CA230348,Capulí,Museo del Oro,1
CA230348_32,CA230348,Capulí,Museo del Oro,1
CA230348_33,CA230348,Capulí,Museo del Oro,1
CA230348_34,CA230348,Capulí,Museo del Oro,1
CA230348_35,CA230348,Capulí,Museo del Oro,1
CA230348_36,CA230348,Capulí,Museo del Oro,1
CA230354_1,CA230354,Tuza,Museo del Oro,1
CA230354_2,CA230354,Tuza,Museo del Oro,1
CA230354_3,CA230354,Tuza,Museo del Oro,1
CA230354_4,CA230354,Tuza,Museo del Oro,1
CA230354_5,CA230354,Tuza,Museo del Oro,1
CA230354_6,CA230354,Tuza,Museo del Oro,1
CA230354_7,CA230354,Tuza,Museo del Oro,0.999624751
CA230354_8,CA230354,Tuza,Museo del Oro,0.999493224
CA230354_9,CA230354,Tuza,Museo del Oro,0.9997943
CA230354_10,CA230354,Tuza,Museo del Oro,1
CA230354_11,CA230354,Tuza,Museo del Oro,1
CA230354_12,CA230354,Tuza,Museo del Oro,1
CA230354_13,CA230354,Tuza,Museo del Oro,1
CA230354_14,CA230354,Tuza,Museo del Oro,1
CA230354_15,CA230354,Tuza,Museo del Oro,1
CA230354_16,CA230354,Tuza,Museo del Oro,1
CA230354_17,CA230354,Tuza,Museo del Oro,1
CA230354_18,CA230354,Tuza,Museo del Oro,1
CA230354_19,CA230354,Tuza,Museo del Oro,1
CA230354_20,CA230354,Tuza,Museo del Oro,1
CA230354_21,CA230354,Tuza,Museo del Oro,1
CA230354_22,CA230354,Tuza,Museo del Oro,1
CA230354_23,CA230354,Tuza,Museo del Oro,1
CA230354_24,CA230354,Tuza,Museo del Oro,1
CA230354_25,CA230354,Tuza,Museo del Oro,1
CA230354_26,CA230354,Tuza,Museo del Oro,1
CA230354_27,CA230354,Tuza,Museo del Oro,1
CA230354_28,CA230354,Tuza,Museo del Oro,1
CA230354_29,CA230354,Tuza,Museo del Oro,1
CA230354_30,CA230354,Tuza,Museo del Oro,1
CA230354_31,CA230354,Tuza,Museo del Oro,1
CA230354_32,CA230354,Tuza,Museo del Oro,1
CA230354_33,CA230354,Tuza,Museo del Oro,1
CA230354_34,CA230354,Tuza,Museo del Oro,1
CA230354_35,CA230354,Tuza,Museo del Oro,1
CA230354_36,CA230354,Tuza,Museo del Oro,1
CA230361_1,CA230361,Piartal - 1,Catambuco - Site 8,1
