CA230334_a,CA230334_b,CA230335_a,CA230335_b,CA230337_a,CA230337_b,CA230347_a,CA230347_b,CA230348_a,CA230348_b,CA230354_a,CA230354_b,CA230361_a,CA230361_b,CA230365_a,CA230365_b,CA230366_a,CA230366_b,CA230375_a,CA230375_b,CA230377_a,CA230377_b,CA230378_a,CA230378_b,CA230381_a,CA230381_b,CA230386_a,CA230386_b,CA230387_a,CA230387_b,CA230401_a,CA230401_b,CA230404_a,CA230404_b,CA230411_a,CA230411_b,CA230416_a,CA230416_b,CA230417_a,CA230417_b,CA230422_a,CA230422_b,CA230423_a,CA230423_b,CA230424_a,CA230424_b,CA230428_a,CA230428_b,CA230429_a,CA230429_b,CA230430_a,CA230430_b,CA230715_a,CA230715_b,CA230717_a,CA230717_b,CA230718_a,CA230718_b,CA230724_a,CA230724_b
Capulí,Capulí,Tuza,Tuza,Piartal - 2,Piartal - 2,Piartal - 2,Piartal - 2,Capulí,Capulí,Tuza,Tuza,Piartal - 1,Piartal - 1,Capulí,Capulí,Capulí,Capulí,Capulí,Capulí,Capulí,Capulí,Capulí,Capulí,Capulí,Capulí,Capulí,Capulí,Capulí,Capulí,Tuza,Tuza,Piartal - 2,Piartal - 2,Tuza,Tuza,Piartal - 1,Piartal - 1,Piartal - 1,Piartal - 1,Piartal - 1,Piartal - 1,Piartal - 1,Piartal - 1,Piartal - 1,Piartal - 1,Tuza,Tuza,Tuza,Tuza,Tuza - Red slip,Tuza - Red slip,Tuza,Tuza,Piartal - 1,Piartal - 1,Tuza,Tuza,Tuza,Tuza
6.58072,10.1551,6.38397,5.714,5.2801,6.9722,4.2667,7.0547,7.45231,6.89051,6.53056,6.89577,6.46141,7.65194,6.84369,7.3963,6.40645,7.0737,5.20043,6.80375,7.35836,8.65859,4.54103,9.40897,5.43801,8.39662,6.9219,8.2796,6.62787,8.82879,5.60766,5.10859,6.44143,6.4422,5.02093,5.69093,4.85143,6.62079,5.8719,5.68644,6.12492,6.13843,4.49226,6.00901,5.76798,5.43214,4.98037,5.82716,6.77882,4.87216,4.90837,7.32554,5.69478,6.61136,5.54492,6.0461,6.25993,6.01424,4.6977,6.54402
6.66509,10.07014,6.46797,5.71388,5.1963,6.9726,4.3503,7.222,7.45231,6.89073,6.44683,6.8117,6.3775,7.48244,6.84369,7.39596,6.40645,6.98942,5.20043,6.80376,7.5256,8.57581,4.62512,9.32492,5.53688,8.39751,6.9219,8.27747,6.71177,8.82886,5.69135,5.19248,6.35777,6.44223,5.10461,5.69121,4.93508,6.53682,6.03967,5.60664,6.12492,6.05875,4.57545,6.009,5.76798,5.35014,5.06478,5.82736,6.77882,5.04036,4.90837,7.24196,5.77853,6.61656,5.54492,5.96346,6.17646,6.01425,4.52993,6.46017
6.66509,10.15414,6.46797,5.79818,4.8986,6.9715,4.3503,7.0547,7.53605,6.89126,6.53056,6.89582,6.54533,7.5664,6.84369,7.48074,6.48965,7.07372,5.28431,6.71972,7.5256,8.49169,4.62512,9.40901,5.53688,8.49739,7.08869,8.27452,6.71177,8.74483,5.77505,5.11022,6.44143,6.44335,5.10461,5.60942,4.93508,6.53753,6.03967,5.69063,6.20882,6.14435,4.57545,6.00898,5.76798,5.26658,5.06478,5.8276,6.77882,4.87256,4.90837,7.24194,5.86228,6.61807,5.54492,5.96722,6.17646,6.01421,4.6977,6.46019
6.74945,10.15539,6.38397,5.71462,5.0144,6.8886,4.434,7.2242,7.61978,6.89103,6.61428,6.8117,6.46141,7.56641,6.92715,7.48071,6.48965,6.99051,5.36819,6.80377,7.5256,8.57474,4.62512,9.49394,5.63576,8.29716,7.08869,8.1891,6.79567,8.82917,5.77505,5.11118,6.44143,6.36198,5.18829,5.61021,4.93508,6.53808,6.20744,5.77428,6.12492,6.14377,4.57545,6.00895,5.76798,5.26643,5.06478,5.9125,6.86251,4.95683,4.99156,7.32499,5.94602,6.61617,5.62894,5.9702,6.17646,6.01419,4.6977,6.46019
6.66509,9.98642,6.55197,5.71494,5.0354,6.9714,4.434,7.2255,7.53605,6.9747,6.53056,6.89491,6.54533,7.56643,6.92715,7.48004,6.57285,7.0772,5.28431,6.80378,7.5256,8.65926,4.70921,9.3298,5.53688,8.29693,7.17208,8.27235,6.71177,8.91233,5.77505,5.19486,6.44143,6.36205,5.18829,5.69394,4.93508,6.45462,6.12355,5.69297,6.12492,6.14322,4.57545,6.0094,5.85157,5.26604,5.14919,5.82879,6.86251,4.95692,4.90837,7.24218,5.86228,6.69944,5.62894,5.97106,6.09299,6.0977,4.78159,6.46013
6.74945,10.07139,6.55197,5.71534,5.1243,6.9719,4.434,7.1417,7.61978,6.89191,6.61428,6.8109,6.54533,7.56652,6.92715,7.47976,6.57285,6.99488,5.36819,6.71972,7.5256,8.57275,4.70921,9.50531,5.53688,8.39682,7.17208,8.35596,6.79567,8.82802,5.77505,5.11109,6.44143,6.44659,5.10461,5.6945,5.01872,6.45585,6.20744,5.69571,6.20882,6.14466,4.65864,6.01104,5.93516,5.26383,5.06478,5.91398,6.86251,4.95686,4.82518,7.24321,5.94602,6.61701,5.71295,5.9711,6.17646,6.01416,4.78159,6.46078
6.83382,10.15764,6.55197,5.71507,5.1226,6.9723,4.6013,7.1419,7.70351,6.97597,6.53056,6.89422,6.62924,7.5665,7.09407,7.39602,6.57285,6.99568,5.45207,6.71981,7.5256,8.48779,4.79331,9.42881,5.63576,8.29674,7.17208,8.27038,6.87956,8.74439,5.77505,5.1118,6.44143,6.44735,5.27198,5.52816,4.93508,6.5408,6.20744,5.7797,6.20882,6.14455,4.65864,6.01215,5.93516,5.26334,5.14919,5.74595,6.9462,4.95695,4.99156,7.32671,5.94602,6.70076,5.54492,5.88693,6.17646,6.01416,4.86548,6.54654
6.74945,10.15838,6.55197,5.88318,5.1244,6.9714,4.6013,7.143,7.61978,6.97766,6.61428,6.80841,6.62924,7.56655,7.09407,7.39534,6.57285,6.99597,5.53595,6.80382,7.5256,8.57208,4.8774,9.4334,5.63576,8.49637,7.25548,8.34772,6.79567,8.91278,5.85875,5.11229,6.44143,6.44759,5.10461,5.69732,4.93508,6.45769,6.3752,5.69585,6.29273,6.14302,4.74183,6.01247,5.85157,5.26386,5.14919,5.91517,7.02989,4.95692,4.82518,7.32759,5.94602,6.61774,5.54492,5.97104,6.17646,6.01401,4.78159,6.46311
6.83382,10.07437,6.63596,5.7153,5.1246,6.9724,4.685,7.143,7.78725,6.8959,6.61428,6.89059,6.62924,7.56664,7.17753,7.39406,6.65605,6.91189,5.61982,6.80362,7.60921,8.65329,4.8774,9.35079,5.8335,8.29877,7.33888,8.3445,6.87956,8.74465,5.94244,5.11206,6.44143,6.36391,5.27198,5.53152,4.93508,6.45923,6.29132,5.61225,6.29273,6.05813,4.65864,6.01253,5.93516,5.26361,5.14919,5.74562,6.86251,4.95704,4.74199,7.24638,5.94602,6.53424,5.71295,5.88779,6.17646,6.01405,4.86548,6.54712
